# Matter power spectrum P(k) at redshift z=1.297
# for k=1.05246e-05 to 30.0293 h/Mpc,
# number of wavenumbers equal to 616
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.099930298844e-03       2.254052000670e+03 
       2.148843959085e-03       2.299495552896e+03 
       2.198896964836e-03       2.345698560640e+03 
       2.250115854864e-03       2.392665932950e+03 
       2.302527786102e-03       2.440402250027e+03 
       2.356160548050e-03       2.488911633084e+03 
       2.411042577508e-03       2.538197707126e+03 
       2.467202973655e-03       2.588263748412e+03 
       2.524671513475e-03       2.639112504029e+03 
       2.583478667550e-03       2.690746200532e+03 
       2.643655616211e-03       2.743166410310e+03 
       2.705234266072e-03       2.796374308731e+03 
       2.768247266949e-03       2.850370365509e+03 
       2.832728029170e-03       2.905154372503e+03 
       2.898710741286e-03       2.960725577844e+03 
       2.966230388207e-03       3.017082461836e+03 
       3.035322769743e-03       3.074222566590e+03 
       3.106024519588e-03       3.132143135088e+03 
       3.178373124747e-03       3.190840158381e+03 
       3.252406945407e-03       3.250309035711e+03 
       3.328165235280e-03       3.310544002698e+03 
       3.405688162414e-03       3.371538850872e+03 
       3.485016830492e-03       3.433285751592e+03 
       3.566193300623e-03       3.495776685613e+03 
       3.649260613646e-03       3.559001812960e+03 
       3.734262812950e-03       3.622950499330e+03 
       3.821244967827e-03       3.687611014789e+03 
       3.910253197365e-03       3.752970541047e+03 
       4.001334694907e-03       3.819014543233e+03 
       4.094537753068e-03       3.885728588998e+03 
       4.189911789344e-03       3.953095269175e+03 
       4.287507372310e-03       4.021096705979e+03 
       4.387376248437e-03       4.089713649421e+03 
       4.489571369525e-03       4.158926197773e+03 
       4.594146920779e-03       4.228710740441e+03 
       4.701158349541e-03       4.299044681849e+03 
       4.810662394688e-03       4.369901732153e+03 
       4.922717116712e-03       4.441254954982e+03 
       5.037381928512e-03       4.513078095906e+03 
       5.154717626888e-03       4.585338013947e+03 
       5.274786424781e-03       4.658002263236e+03 
       5.397651984256e-03       4.731040353065e+03 
       5.523379450260e-03       4.804413328847e+03 
       5.652035485158e-03       4.878084757232e+03 
       5.783688304084e-03       4.952014116867e+03 
       5.918407711106e-03       5.026160806134e+03 
       6.056265136235e-03       5.100480111200e+03 
       6.197333673303e-03       5.174926643861e+03 
       6.341688118717e-03       5.249453111259e+03 
       6.489405011113e-03       5.324008240193e+03 
       6.640562671944e-03       5.398539625256e+03 
       6.795241247001e-03       5.472993755980e+03 
       6.953522748913e-03       5.547312865541e+03 
       7.115491100628e-03       5.621438879185e+03 
       7.281232179909e-03       5.695307289062e+03 
       7.450833864870e-03       5.768854443530e+03 
       7.624386080569e-03       5.842014230462e+03 
       7.801980846689e-03       5.914715241415e+03 
       7.983712326326e-03       5.986889524310e+03 
       8.169676875915e-03       6.058457941002e+03 
       8.359973096322e-03       6.129343238114e+03 
       8.554701885122e-03       6.199469496855e+03 
       8.753966490096e-03       6.268751142688e+03 
       8.957872563976e-03       6.337103699273e+03 
       9.166528220460e-03       6.404437882006e+03 
       9.380044091541e-03       6.470665166409e+03 
       9.598533386158e-03       6.535690392081e+03 
       9.822111950229e-03       6.599418775432e+03 
       1.005089832807e-02       6.661750327725e+03 
       1.028501382524e-02       6.722583324090e+03 
       1.052458257287e-02       6.781812962599e+03 
       1.076973159350e-02       6.839337789811e+03 
       1.102059086838e-02       6.895044584446e+03 
       1.127729340640e-02       6.948823723989e+03 
       1.153997531467e-02       7.000560558045e+03 
       1.180877587059e-02       7.050141280690e+03 
       1.208383759579e-02       7.097444140679e+03 
       1.236530633163e-02       7.142354286737e+03 
       1.265333131656e-02       7.184751647731e+03 
       1.294806526524e-02       7.224508946158e+03 
       1.324966444952e-02       7.261516055714e+03 
       1.355828878126e-02       7.295635541307e+03 
       1.387410189719e-02       7.326745494561e+03 
       1.419727124558e-02       7.354726818351e+03 
       1.452796817511e-02       7.379451981416e+03 
       1.486636802568e-02       7.400794833477e+03 
       1.521265022135e-02       7.418639090042e+03 
       1.556699836555e-02       7.432862377929e+03 
       1.592960033838e-02       7.443347406093e+03 
       1.630064839623e-02       7.449979629319e+03 
       1.668033927380e-02       7.452647875504e+03 
       1.706887428841e-02       7.451242648042e+03 
       1.746645944684e-02       7.445666928921e+03 
       1.787330555481e-02       7.435823403741e+03 
       1.828962832904e-02       7.421628253854e+03 
       1.871564851231e-02       7.402999295581e+03 
       1.915159199173e-02       7.379856969540e+03 
